Input_Size,Run_ID,Algorithm,Comparisons
1000,104,SelectionSort,499500
1000,104,MergeSort,8701
1000,104,QuickSort,12147
1000,104,HeapSort,11672
1000,105,BubbleSort,999000
1000,105,InsertionSort,248378
1000,105,SelectionSort,499500
1000,105,MergeSort,8695
1000,105,QuickSort,11316
1000,105,HeapSort,11678
1000,106,BubbleSort,999000
1000,106,InsertionSort,241937
1000,106,SelectionSort,499500
1000,106,MergeSort,8723
1000,106,QuickSort,11175
1000,106,HeapSort,11741
1000,107,BubbleSort,999000
1000,107,InsertionSort,263132
1000,107,SelectionSort,499500
1000,107,MergeSort,8722
1000,107,QuickSort,11628
1000,107,HeapSort,11619
1000,108,BubbleSort,999000
1000,108,InsertionSort,245621
1000,108,SelectionSort,499500
1000,108,MergeSort,8706
1000,108,QuickSort,11137
1000,108,HeapSort,11748
1000,109,BubbleSort,999000
1000,109,InsertionSort,257098
1000,109,SelectionSort,499500
1000,109,MergeSort,8715
1000,109,QuickSort,10985
1000,109,HeapSort,11684
1000,110,BubbleSort,999000
1000,110,InsertionSort,250737
1000,110,SelectionSort,499500
1000,110,MergeSort,8691
1000,110,QuickSort,11427
1000,110,HeapSort,11701
1000,111,BubbleSort,999000
1000,111,InsertionSort,239906
1000,111,SelectionSort,499500
1000,111,MergeSort,8716
1000,111,QuickSort,12618
1000,111,HeapSort,11767
1000,112,BubbleSort,999000
1000,112,InsertionSort,252598
1000,112,SelectionSort,499500
1000,112,MergeSort,8694
1000,112,QuickSort,10785
1000,112,HeapSort,11760
1000,113,BubbleSort,999000
1000,113,InsertionSort,259209
1000,113,SelectionSort,499500
1000,113,MergeSort,8721
1000,113,QuickSort,11050
1000,113,HeapSort,11645
1000,114,BubbleSort,999000
1000,114,InsertionSort,240670
1000,114,SelectionSort,499500
1000,114,MergeSort,8725
1000,114,QuickSort,12489
1000,114,HeapSort,11691
1000,115,BubbleSort,999000
1000,115,InsertionSort,249506
1000,115,SelectionSort,499500
1000,115,MergeSort,8705
1000,115,QuickSort,10844
1000,115,HeapSort,11657
1000,116,BubbleSort,999000
1000,116,InsertionSort,258304
1000,116,SelectionSort,499500
1000,116,MergeSort,8694
1000,116,QuickSort,11218
1000,116,HeapSort,11666
1000,117,BubbleSort,999000
1000,117,InsertionSort,245170
1000,117,SelectionSort,499500
1000,117,MergeSort,8723
1000,117,QuickSort,11417
1000,117,HeapSort,11619
1000,118,BubbleSort,999000
1000,118,InsertionSort,259138
1000,118,SelectionSort,499500
1000,118,MergeSort,8692
1000,118,QuickSort,11088
1000,118,HeapSort,11658
1000,119,BubbleSort,999000
1000,119,InsertionSort,246007
1000,119,SelectionSort,499500
1000,119,MergeSort,8684
1000,119,QuickSort,11031
1000,119,HeapSort,11651
1000,120,BubbleSort,999000
1000,120,InsertionSort,254040
1000,120,SelectionSort,499500
1000,120,MergeSort,8706
1000,120,QuickSort,10898
1000,120,HeapSort,11664
1000,121,BubbleSort,999000
1000,121,InsertionSort,253016
1000,121,SelectionSort,499500
1000,121,MergeSort,8687
1000,121,QuickSort,11987
1000,121,HeapSort,11715
1000,122,BubbleSort,999000
1000,122,InsertionSort,254343
1000,122,SelectionSort,499500
1000,122,MergeSort,8697
1000,122,QuickSort,11896
1000,122,HeapSort,11644
1000,123,BubbleSort,999000
1000,123,InsertionSort,249246
1000,123,SelectionSort,499500
1000,123,MergeSort,8708
1000,123,QuickSort,11496
1000,123,HeapSort,11657
1000,124,BubbleSort,999000
1000,124,InsertionSort,250485
1000,124,SelectionSort,499500
1000,124,MergeSort,8702
1000,124,QuickSort,11570
1000,124,HeapSort,11674
1000,125,BubbleSort,999000
1000,125,InsertionSort,250966
1000,125,SelectionSort,499500
1000,125,MergeSort,8725
1000,125,QuickSort,10973
1000,125,HeapSort,11745
1000,126,BubbleSort,999000
1000,126,InsertionSort,257174
1000,126,SelectionSort,499500
1000,126,MergeSort,8717
1000,126,QuickSort,12681
1000,126,HeapSort,11620
1000,127,BubbleSort,999000
1000,127,InsertionSort,251127
1000,127,SelectionSort,499500
1000,127,MergeSort,8670
1000,127,QuickSort,11113
1000,127,HeapSort,11726
1000,128,BubbleSort,999000
1000,128,InsertionSort,247977
1000,128,SelectionSort,499500
1000,128,MergeSort,8737
1000,128,QuickSort,11088
1000,128,HeapSort,11693
1000,129,BubbleSort,999000
1000,129,InsertionSort,251249
1000,129,SelectionSort,499500
1000,129,MergeSort,8719
1000,129,QuickSort,10451
1000,129,HeapSort,11654
1000,130,BubbleSort,999000
1000,130,InsertionSort,251076
1000,130,SelectionSort,499500
1000,130,MergeSort,8718
1000,130,QuickSort,11866
1000,130,HeapSort,11693
1000,131,BubbleSort,999000
1000,131,InsertionSort,251973
1000,131,SelectionSort,499500
1000,131,MergeSort,8711
1000,131,QuickSort,10856
1000,131,HeapSort,11568
1000,132,BubbleSort,999000
1000,132,InsertionSort,249184
1000,132,SelectionSort,499500
1000,132,MergeSort,8695
1000,132,QuickSort,10754
1000,132,HeapSort,11693
1000,133,BubbleSort,999000
1000,133,InsertionSort,260837
1000,133,SelectionSort,499500
1000,133,MergeSort,8722
1000,133,QuickSort,11346
1000,133,HeapSort,11614
1000,134,BubbleSort,999000
1000,134,InsertionSort,241998
1000,134,SelectionSort,499500
1000,134,MergeSort,8697
1000,134,QuickSort,11036
1000,134,HeapSort,11710
1000,135,BubbleSort,999000
1000,135,InsertionSort,252924
1000,135,SelectionSort,499500
1000,135,MergeSort,8689
1000,135,QuickSort,10759
1000,135,HeapSort,11684
1000,136,BubbleSort,999000
1000,136,InsertionSort,244879
1000,136,SelectionSort,499500
1000,136,MergeSort,8683
